"Order Number","Po Number","Order Date","Status","SKU Code","Order Savings","Invoiced Amt","Product Title","PTS","Ordered QTY","Ordered Amt","Invoiced Items","Bounced  order Qunatity","CFA Name","Division","SKU Count"
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120450",0,"0.00","ADDWIZE","99.64",30,"3347.90",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001144920",0,"0.00","LIOFEN-500 INJ. 20ML VIAL","1081.37",30,"34063.15",0,30,"7401-SPDL DEPOT-SILIGURI","SEPHEUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120103",0,"0.00","OLEANZ10","35.91",30,"1206.58",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120521",0,"0.00","TRIGABANTIN100","70.07",30,"2354.35",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120522",0,"0.00","TRIGABANTIN300","118.93",30,"3996.05",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001145158",0,"0.00","RIZANET 10MG","44.36",30,"1490.50",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001121080",0,"0.00","STROCIT4ML","181.93",30,"6112.85",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120134",0,"0.00","ZIPSYDON-40","127.93",30,"4298.45",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120111",0,"0.00","OLEANZRT20","83.57",30,"2807.95",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120090",0,"0.00","LACOSETINJECTION20ML","117.64",30,"3952.70",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120119",0,"0.00","ROPARKXL4","154.29",30,"5184.14",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120190",0,"0.00","VILANO40","221.79",30,"7452.14",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120112",0,"0.00","OLEANZ RT 5","20.81",30,"699.22",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120117",0,"0.00","ROPARKXL1","115.07",30,"3866.35",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120107",0,"0.00","OLEANZFORTE","121.50",30,"4082.40",0,30,"7401-SPDL DEPOT-SILIGURI","SIRIUS",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001120515",0,"0.00","SULPITAC OD 200","196.07",30,"6587.95",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
"sunpc-14847",,"2023-12-28 16:05:47","SubmittedByCustomer","000000000001145157",0,"0.00","RIZANET 5MG","28.93",30,"972.05",0,30,"7401-SPDL DEPOT-SILIGURI","SYNERGY",1
